Sl. No.,College Name,Email,Contact No.,Link
15,"Government Polytechnic College,Dungarpur",gpc.dungarpur@rajasthan.gov.in,0296-4268710,http://hte.rajasthan.gov.in/college/gpcdungarpur
16,"Government Polytechnic College,Hanumangarh",gpc.hanumangarh@rajasthan.gov.in,0155-2260044,http://hte.rajasthan.gov.in/college/gpchanumangarh
17,Government Ram Chandra Khaitan Polytechnic College Jaipur,gpc.jaipur@rajasthan.gov.in,0141-2707829,http://hte.rajasthan.gov.in/college/gpcjaipur
18,"Government Polytechnic College, Jalore (Camp Pali)",gpc.jalore@rajasthan.gov.in,0293-2263505,http://hte.rajasthan.gov.in/college/gpcjalore
19,"Government Polytechnic College, Jaisalmer",gpc.jaisalmerh@rajasthan.gov.in,0823-3329769,http://hte.rajasthan.gov.in/college/gpcjaisalmer
20,"Government Polytechnic College, Jhalawar",gpc.jhalawar@rajasthan.gov.in,0743-2233282,http://hte.rajasthan.gov.in/college/gpcjhalawar
21,"Government Polytechnic College, Jodhpur",gpc.jodhpur@rajasthan.gov.in,0291-2649439,http://hte.rajasthan.gov.in/college/gpcjodhpur
22,"Government Polytechnic College, Jhunjhunu",gpcjhunjhunu.@rajasthan.gov.in,0159-2297007,http://hte.rajasthan.gov.in/college/gpcjhunjhunu
23,"Government Polytechnic College, Karauli (Camp- Alwar)",gpc.karauli@rajasthan.gov.in,0144-2701645,http://hte.rajasthan.gov.in/college/gpckaroli
24,"Government Polytechnic College, Kota",gpc.kota@rajasthan.gov.in,0744-2365538,http://hte.rajasthan.gov.in/college/gpckota
25,"Government Polytechnic College, Kelwara",gpc.kelwara@rajasthan.gov.in,0744-2365538,http://hte.rajasthan.gov.in/college/gpckelwara
26,"Government Polytechnic College, Mandore",gpc.mandore@rajasthan.gov.in,0158-2247505,https://hte.rajasthan.gov.in/college/gpcmandore
27,"Government Polytechnic College, Nagaur",gpc.nagaur@rajasthan.gov.in,0158-2247505,http://hte.rajasthan.gov.in/college/gpcnagaur
28,Government Polytechnic College Neemrana (Alwar)-Rajasthan,gpc.neemrana@rajasthan.gov.in,0149-4297822,http://hte.rajasthan.gov.in/college/gpcneemrana
29,Government Polytechnic College Pali,gpc.pali@rajasthan.gov.in,0293-2263505,http://hte.rajasthan.gov.in/college/gpcpali
30,Government Polytechnic College Pratapgarh,gpc.pratapgarh@rajasthan.gov.in,0969-4150550,http://hte.rajasthan.gov.in/college/gpcpratapgarp
31,"Government Polytechnic College, Rajsamand",gpc.rajsamand@rajasthan.gov.in,0295-2221197,http://hte.rajasthan.gov.in/college/gpcrajsamand
32,"Government Polytechnic College,Sawai Madhopur",gpc.smadhopur@rajasthan.gov.in,0746-2220891,http://hte.rajasthan.gov.in/college/gpcsawaimadhopur
33,"Govt. Polytechnic College,Sikar",gpc.sikar@rajasthan.gov.in,0157-2274020,http://hte.rajasthan.gov.in/college/gpcsikar
34,SGBB Government Polytechnic College Sirohi (Raj.),gpc.sirohi@rajasthan.gov.inv.In,0297-2222401,http://hte.rajasthan.gov.in/college/gpcsirohi
35,"CMRB Government Polytechnic College , Sriganganagar",gpc.sriganganagar@rajasthan.gov.in,0154-2482700,http://hte.rajasthan.gov.in/college/gpcsriganganagar
36,"Government Polytechnic College, Tonk",gpc.tonk@rajasthan.gov.in,01432-260888,http://hte.rajasthan.gov.in/college/gpctonk
37,"Government Polytechnic College, Udaipur",gpc.udaipur@rajasthan.gov.in,0294-2491575,http://hte.rajasthan.gov.in/college/gpcudaipur
38,"Goverment Women Polytechnic College,Ajmer",gwpc.ajmer@rajasthan.gov.in,0145-2695231,http://hte.rajasthan.gov.in/college/gwpcajmer
39,"Goverment Women Polytechnic College, Bikaner",gwpc.bikaner@rajasthan.gov.in,0151-2528874,http://hte.rajasthan.gov.in/college/gwpcbikaner
40,Government Women Polytechnic College Bharatpur,gwpc.bharatpur@rajasthan.gov.in,0564-4297015,http://hte.rajasthan.gov.in/college/gpcbharatpur
41,Government Women Polytechnic College.Jaipur,gwpc.jaipur@rajasthan.gov.in,0141-2706688,http://hte.rajasthan.gov.in/college/gwpcjaipur
42,"Government Residential Women Polytechnic College, Jodhpur",principal.gwpc.jdh@rajasthan.gov.in,0291-2434187,http://hte.rajasthan.gov.in/college/gwpcjodhpur
43,"Government Women Polytechnic College, Kota",gwpc.kota@rajasthan.gov.in,0744-2420313,http://hte.rajasthan.gov.in/college/gwpckota
44,"Government Women Polytechnic College, Sanganer",gwpc.sanganer@rajasthan.gov.in,0141-2706688,http://hte.rajasthan.gov.in/college/gwpcsanganer
45,"Government Women Polytechnic College,Udaipur",gwpc.udaipur@rajasthan.gov.in,0294-2491575,http://hte.rajasthan.gov.in/college/gwpcudaipur
46,"(TTC,LRDC(Jodhpur))",ttc.jodhpur@rajasthan.gov.in,0291-2431072,http://hte.rajasthan.gov.in/college/ttcjodhpur
